68.40.86.5 - - [23/Sep/2022:11:03:19 -0700] "GET /js/jquery.js HTTP/1.1" 200 33224 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ashisht.png HTTP/1.1" 200 14989 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/tpu_indeximg.PNG HTTP/1.1" 200 36162 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/microblaze_system.png HTTP/1.1" 200 73636 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/USCInternship/OLED.jpg HTTP/1.1" 200 379633 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageSeven/one%20(Copy).jpg HTTP/1.1" 200 91631 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageOne/two%20(Copy).jpg HTTP/1.1" 200 84792 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageTwo/three%20(Copy).jpg HTTP/1.1" 200 75727 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageEight/one.jpg HTTP/1.1" 200 82061 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/senior/update10/both%20mics.jpg HTTP/1.1" 200 347058 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageTen/five.jpg HTTP/1.1" 200 97618 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageFive/bgimg.PNG HTTP/1.1" 200 547162 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/FPGAgaming/FPGAgaming.PNG HTTP/1.1" 200 928710 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/ProjectPageEleven/one.jpg HTTP/1.1" 200 209171 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
68.40.86.5 - - [23/Sep/2022:11:03:20 -0700] "GET /IMGS/guitarvignette.jpg HTTP/1.1" 200 926881 "https://www.theashish.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "www.theashish.net"
